Name,Age,Nominating party,Political party,Votes 2002,Percentual gain 2002,Ballot rank,Final rank,Mandate
Budínská Dana,46,ČSNS,ČSNS,484.0,2.26,10,,
Burda David,34,US-DEU,US-DEU,1143.0,3.26,6,,
Coufalová Radka,30,VPM,BEZPP,4755.0,2.60,16,9,
Cvejn Zdeněk,21,ODS,ODS,8100.0,2.63,17,4,
Čáp Jan MUDr. CSc.,49,KDU-ČSL,KDU-ČSL,2122.0,3.29,19,3,
Čapek Jaroslav Mgr.,53,US-DEU,US-DEU,888.0,2.53,16,,
Čáslavský František,56,ČSSD,ČSSD,4223.0,2.87,8,4,
Částková Ivana MUDr.,41,ČSNS,BEZPP,918.0,4.28,6,,
Čejchan Petr,32,SZ,BEZPP,356.0,2.19,23,,
Čep Daniel,34,VPM,BEZPP,4562.0,2.49,27,20,
Černá Radmila,47,ČSNS,BEZPP,361.0,1.68,37,,
Černík Rudolf,50,SOS,BEZPP,1562.0,2.13,33,30,
Činovec Vladislav,74,NK,BEZPP,1412.0,1.93,34,31,
Daňo Jozef,43,ČSNS,BEZPP,445.0,2.07,13,,
Daňo Vladimír,51,KSČM,KSČM,4000.0,2.68,14,8,
Deutschová Alžběta,36,ČSNS,BEZPP,419.0,1.95,20,,
Diviš Mojmír,64,KSČM,KSČM,3979.0,2.67,23,17,
Divíšek Otakar Ing.,49,ODS,ODS,8728.0,2.83,2,5,*
Dlabáčková Eva,53,NK,BEZPP,1963.0,2.68,19,16,
Dobiáš Jiří,71,ČSNS,BEZPP,393.0,1.83,21,,
Dolejší Zdeněk,40,ČSNS,BEZPP,373.0,1.74,32,,
Doležal Vladimír,39,US-DEU,US-DEU,992.0,2.83,7,,
Doskočil Jan Ing.,60,VPM,VPM,6084.0,3.32,2,3,*
Doskočil Pavel Ak. soch.,34,VPM,BEZPP,5260.0,2.87,18,11,
Drašner Ivan,63,ČSNS,BEZPP,416.0,1.94,19,,
Dražďáková Jana,62,VPM,BEZPP,5464.0,2.99,14,2,
Duchoň Josef,69,SOS,BEZPP,1560.0,2.13,32,29,
Duchoň Radoslav,45,SOS,BEZPP,1893.0,2.58,16,13,
Dürrer Jan Ing.,48,SOS,BEZPP,2135.0,2.91,8,8,
Dus Rudolf Bc.,47,ČSSD,ČSSD,3917.0,2.66,19,13,
Dvořák Josef,54,RMS,RMS,111.0,14.68,5,,
Dvořák Martin,24,SZ,BEZPP,376.0,2.31,29,,
Dvořák Martin Ing.,45,VPM,VPM,7381.0,4.03,10,1,*
Džbánek Jiří,68,VPM,BEZPP,4654.0,2.54,17,10,
Falta Bedřich Ing. arch.,63,ODS,ODS,8319.0,2.70,27,14,
Falta Jan Ing. arch.,36,KDU-ČSL,BEZPP,2273.0,3.52,9,2,
Fanderlik Ivan Ing. CSc,67,US-DEU,US-DEU,1206.0,3.44,9,,
Fanderliková Ivana,66,US-DEU,US-DEU,708.0,2.02,27,,
Fátor Pavel,35,NK,BEZPP,1863.0,2.54,14,12,
Feix Jiří MUDr.,43,ČSNS,BEZPP,742.0,3.46,8,,
Fiala Oldřich MUDr. CSc.,47,KDU-ČSL,BEZPP,1858.0,2.88,22,20,
Fiala Pavel MUDr.,33,US-DEU,US-DEU,848.0,2.42,29,,
Filipiová Emma,65,KSČM,KSČM,3841.0,2.58,33,27,
Finfrlová Pavla Ing.,52,ODS,ODS,8616.0,2.80,11,12,*
Fink Zdeněk MUDr.,47,NK,BEZPP,4481.0,6.12,1,1,*
Fišera Jan Ing.,25,US-DEU,US-DEU,817.0,2.33,25,,
Foglová Milena,49,US-DEU,US-DEU,698.0,1.99,30,,
Foretová Věra,48,ČSSD,ČSSD,3648.0,2.48,30,24,
Franc Michal,26,KSČM,KSČM,4052.0,2.72,10,4,
Gančarčík Tomáš Mgr.,32,SZ,BEZPP,710.0,4.37,4,,
Gloser Filip Mgr. Ing.,29,ODS,BEZPP,8073.0,2.62,25,12,
Groh David,27,SZ,BEZPP,292.0,1.79,30,,
Grossmannová Judita Mgr.,59,SŽJ,SŽJ,667.0,46.35,1,,
Gümpl Martin,32,KDU-ČSL,KDU-ČSL,1791.0,2.77,8,10,
Hájek Alois,49,KSČM,KSČM,4072.0,2.73,5,5,*
Haluza Radovan PharmDr.,41,US-DEU,US-DEU,1330.0,3.80,5,,
Hanousek Josef Doc. PhDr. CSc.,59,ČSSD,ČSSD,3938.0,2.67,28,22,
Hanuš Jiří,39,KDU-ČSL,BEZPP,1960.0,3.04,11,4,
Hanuš Vladimír,42,SZ,BEZPP,469.0,2.89,12,,
Háp Zdeněk PaedDr.,59,KDU-ČSL,BEZPP,1692.0,2.62,25,23,
Hausvater Zdeněk,23,SZ,SZ,513.0,3.16,13,,
Havelka Martin Ing.,33,ČSNS,BEZPP,414.0,1.93,27,,
Havlíček Michal PhDr.,47,VPM,BEZPP,5105.0,2.79,9,5,
Havrda Alois Ing.,56,KSČM,BEZPP,4501.0,3.02,3,2,*
Heger Leoš Doc. MUDr.,54,ODS,BEZPP,10171.0,3.30,7,1,*
Herman Aleš MUDr. Ph.D.,41,SOS,BEZPP,2562.0,3.50,15,2,
Herman Boris Ing.,38,ODS,ODS,8505.0,2.76,6,8,*
Hesoun Pavel Ing.,34,KDU-ČSL,BEZPP,1464.0,2.27,26,24,
Hesová Světlana,48,KSČM,KSČM,3909.0,2.62,29,23,
Hladík Pavel,54,KSČM,KSČM,4068.0,2.73,16,10,
Hlaváč Luděk,39,KSČM,BEZPP,3976.0,2.67,19,13,
Hloušek Jiří,31,SOP,BEZPP,132.0,8.81,4,,
Hofman Jiří,56,VPM,BEZPP,4691.0,2.56,19,12,
Hofman Michal,25,SZ,BEZPP,384.0,2.36,14,,
Holeček Bohumil,59,ODS,ODS,7278.0,2.36,34,21,
Holub Josef PharmDr.,48,US-DEU,BEZPP,1002.0,2.86,19,,
Holubcová Ludmila Ing.,63,KSČM,BEZPP,4023.0,2.70,13,7,
Honegr Jan Ing.,48,ČSNS,BEZPP,447.0,2.08,34,,
Hora Jan Ing.,47,US-DEU,US-DEU,902.0,2.57,12,,
Horká Jana,61,KDU-ČSL,BEZPP,1158.0,1.79,35,33,
Hovorka Jaroslav,59,US-DEU,US-DEU,753.0,2.15,28,,
Hrbatý Julius,60,KSČM,KSČM,3750.0,2.52,36,30,
Hrdinová Renée,27,KSČM,BEZPP,3958.0,2.66,24,18,
Hruška Stanislav,27,SZ,BEZPP,359.0,2.21,19,,
Hybšová Jarmila Mgr.,33,US-DEU,US-DEU,919.0,2.62,17,,
Hylmar Petr Ing.,44,KDU-ČSL,BEZPP,1752.0,2.71,16,15,
Hypská Vilma MVDr.,31,VPM,BEZPP,3844.0,2.10,37,30,
Chalupník Jiří Ing.,62,KSČM,KSČM,3864.0,2.59,32,26,
Chýlek Stanislav Ing.,68,KDU-ČSL,KDU-ČSL,1790.0,2.77,7,9,
Janata Petr,65,RMS,RMS,75.0,9.92,6,,
Janečková Daniela Bc.,27,ČSNS,BEZPP,458.0,2.13,18,,
Janečková Jitka Ing.,36,SOS,BEZPP,1780.0,2.43,21,18,
Jaroš Emil Prim. MUDr. Ph.D.,58,ODS,ODS,8859.0,2.88,13,13,*
Jaroš Milan,35,ČSSD,ČSSD,3948.0,2.68,16,10,
Jarošová Jitka,31,KSČM,BEZPP,3986.0,2.67,18,12,
Jelínek František,55,US-DEU,US-DEU,845.0,2.41,11,,
Jeřábek Karel,63,SOS,BEZPP,1639.0,2.24,20,17,
Jezbera Daniel RNDr.,39,KDU-ČSL,BEZPP,1796.0,2.78,6,8,
Jirásek Záviš,56,KSČM,KSČM,4029.0,2.70,22,16,
Jireš František Ing.,71,SOS,BEZPP,1613.0,2.20,25,22,
Jireš Rostislav Ing.,39,ČSSD,ČSSD,4632.0,3.15,2,2,*
Jirka Jan,27,VPM,VPM,5282.0,2.89,4,3,
Jirout Jiří,28,VPM,BEZPP,3635.0,1.98,36,29,
Jirucha Ladislav Ing.,41,ODS,ODS,7480.0,2.43,33,20,
Jůza Emil,66,NK,BEZPP,1440.0,1.96,35,32,
Kafka David Ing.,54,ODS,ODS,8914.0,2.89,4,6,*
Kaplanová Jana MUDr.,42,SOS,BEZPP,2300.0,3.14,13,4,
Karpaš Karel Doc. MUDr.,58,ODS,BEZPP,9005.0,2.92,22,9,
Kašpar Milan Ing.,49,VPM,BEZPP,4383.0,2.39,28,21,
Keindl Jiří Ing.,59,SOS,BEZPP,1632.0,2.23,28,25,
Kejzlar Adam,20,KSČM,BEZPP,3955.0,2.65,21,15,
Kindl Vlastimil Ing.,47,KDU-ČSL,BEZPP,1342.0,2.08,31,29,
Klesňáková Jitka,60,US-DEU,US-DEU,619.0,1.77,33,,
Kocáb František,47,ČSSD,ČSSD,4014.0,2.73,13,7,
Kocián Vojtěch Ing.,55,SOS,BEZPP,1661.0,2.27,27,24,
Kocourek František,57,RMS,RMS,112.0,14.81,3,,
Koiš Radek Ing.,34,ČSSD,ČSSD,4433.0,3.01,4,2,
Kolář Jiří Mgr.,56,NK,BEZPP,1756.0,2.40,12,11,
Kopecký David,28,SZ,BEZPP,332.0,2.04,27,,
Korbelová Vladimíra,48,ČSSD,ČSSD,3890.0,2.64,22,16,
Koros Bedřich Ing.,58,ODS,ODS,8056.0,2.62,8,9,*
Kořínek Eduard Mgr.,55,KSČM,KSČM,4125.0,2.77,15,9,
Koucký Bohdan,28,KSČM,KSČM,4046.0,2.72,9,3,
Koutník Václav Ing.,58,ODS,ODS,8128.0,2.64,21,8,
Kovařík Břetislav,52,NK,BEZPP,1964.0,2.68,17,14,
Kovařík Zdeněk,71,ODS,BEZPP,8150.0,2.65,19,6,
Kozlovská Marie,54,ČSSD,ČSSD,3900.0,2.65,20,14,
Kračmar Jaroslav,50,KSČM,KSČM,3949.0,2.65,25,19,
Kratochvíl Milan,28,SOP,BEZPP,137.0,9.14,5,,
Krejcar Jiří,61,KSČM,KSČM,3673.0,2.46,37,31,
Kroupa Václav Ing.,52,ČSSD,ČSSD,3828.0,2.60,23,17,
Krtička Jiří,26,SZ,BEZPP,360.0,2.21,26,,
Krupičková Dagmar MUDr.,62,ODS,ODS,7683.0,2.49,32,19,
Krušina Martin,30,ČSNS,BEZPP,441.0,2.06,24,,
Křivánková Lenka,51,ČSSD,ČSSD,3819.0,2.59,24,18,
Křížová Eva,63,KSČM,KSČM,3867.0,2.59,31,25,
Kubec Ivan,55,RMS,RMS,133.0,17.59,2,,
Kučera Tomáš,30,ČSNS,BEZPP,382.0,1.78,33,,
Kudelková Michaela Ing.,35,VPM,BEZPP,4158.0,2.27,32,25,
Kunc Antonín,49,SOP,BEZPP,189.0,12.61,2,,
Kunt Otto Ing.,66,ODS,ODS,7965.0,2.59,26,13,
Kuzmová Renata,39,SOP,BEZPP,99.0,6.60,11,,
Kvasnička Jiří Prof. MUDr. CSc.,68,VPM,BEZPP,5255.0,2.87,20,13,
Kvasničková Eva Prof. RNDr. CSc.,68,VPM,BEZPP,5695.0,3.11,6,6,*
Kyncl Tomáš,29,ČSNS,ČSNS,409.0,1.91,25,,
Landa Jiří,32,KSČM,KSČM,4003.0,2.69,12,6,
Lankašová Taťána PhDr.,49,KSČM,KSČM,4146.0,2.78,17,11,
Lapáčková Konstantýna,72,US-DEU,US-DEU,512.0,1.46,37,,
Lesák Tomáš,41,ČSSD,ČSSD,3429.0,2.33,33,27,
Lesák Vladimír,38,ČSSD,ČSSD,3342.0,2.27,35,29,
Linhart Václav,51,KDU-ČSL,KDU-ČSL,1278.0,1.98,33,31,
Lisý Pavel Ing.,36,KDU-ČSL,BEZPP,1756.0,2.72,20,18,
Ludvík Václav Ing.,55,VPM,BEZPP,5043.0,2.76,11,6,
Luska Petr,37,ČSSD,ČSSD,4128.0,2.80,12,6,
Macura Karel,58,US-DEU,US-DEU,1178.0,3.36,3,,
Mačura Rudolf,60,NK,BEZPP,1630.0,2.22,23,20,
Mádle Luboš Ing.,62,ČSSD,ČSSD,4089.0,2.78,14,8,
Mahler Petr Ing.,39,VPM,BEZPP,4338.0,2.37,30,23,
Mach Oldřich,59,RMS,RMS,87.0,11.50,7,,
Majurníková Libuše Mgr.,46,SŽJ,BEZPP,574.0,39.88,2,,
Malíř Josef Ing.,41,VPM,VPM,5862.0,3.20,1,5,*
Marečková Dana,46,NK,BEZPP,2316.0,3.16,3,3,
Marková Kateřina Ing.,38,ODS,ODS,8275.0,2.69,20,7,
Martinek Jiří,61,KSČM,KSČM,3772.0,2.53,35,29,
Martínková Jiřina Prof. MUDr. DrSc.,62,ČSSD,ČSSD,4580.0,3.11,10,3,*
Mázl Josef Ing.,52,ČSSD,ČSSD,3311.0,2.25,34,28,
Mázlová Helena Ing.,49,ČSSD,ČSSD,3486.0,2.37,32,26,
Melicharová Viktorie Ing.,68,KDU-ČSL,KDU-ČSL,1379.0,2.13,30,28,
Melzer Roman,26,SZ,SZ,954.0,5.88,3,,
Michálek Jan MUDr.,45,ODS,ODS,9758.0,3.17,3,2,*
Michková Ludmila,55,KSČM,KSČM,3919.0,2.63,27,21,
Mls Karel Ing.,38,SZ,BEZPP,684.0,4.21,21,,
Moník Jaroslav,23,SZ,BEZPP,571.0,3.51,7,,
Moník Martin,26,SZ,SZ,737.0,4.54,2,,
Moníková Jana,27,SZ,BEZPP,429.0,2.64,15,,
Morávek Jiří Mgr.,44,KSČM,BEZPP,4306.0,2.89,6,6,*
Moucha Tomáš,25,SZ,BEZPP,261.0,1.60,33,,
Musil Pavel,37,VPM,BEZPP,4602.0,2.51,22,15,
Nehybová Renata,37,NK,BEZPP,2041.0,2.79,9,9,
Nejedlý Libor Ing.,51,KSČM,KSČM,4159.0,2.79,4,4,*
Němeček Jiří PhDr.,59,KDU-ČSL,KDU-ČSL,2579.0,4.00,10,1,
Neumann Vladimír Ing.,51,ČSNS,BEZPP,606.0,2.83,14,,
Nix Josef Ing.,50,KDU-ČSL,KDU-ČSL,1235.0,1.91,34,32,
Nosek Jiří PhDr.,57,ČSSD,ČSSD,4558.0,3.10,3,4,*
Novák Robert Mgr.,35,US-DEU,US-DEU,774.0,2.21,35,,
Novotný Petr,28,US-DEU,US-DEU,880.0,2.51,15,,
Novotný Vlastimil,46,US-DEU,US-DEU,2109.0,6.03,1,,
Nožička Jan MUDr.,37,KDU-ČSL,BEZPP,1863.0,2.89,21,19,
Nožková Petra,27,VPM,BEZPP,4318.0,2.36,29,22,
Ondráček Vlastimil,45,ČSSD,ČSSD,4235.0,2.88,9,5,
Opitz Jiří,48,NK,BEZPP,1740.0,2.37,31,28,
Opřátko Josef,43,ČSNS,BEZPP,393.0,1.83,22,,
Pastuszek Rudolf,58,KDU-ČSL,KDU-ČSL,1337.0,2.07,29,27,
Paulů Zuzana,50,NK,BEZPP,1879.0,2.56,26,23,
Pavlásková Marcela,60,ODS,ODS,6606.0,2.14,37,24,
Pavlata Jaroslav MUDr.,40,ČSNS,BEZPP,1122.0,5.24,4,,
Pavliš Pavel Ing.,53,KDU-ČSL,BEZPP,1875.0,2.90,17,16,
Pazderka Tomáš Ing.,35,VPM,BEZPP,4233.0,2.31,31,24,
Pazourek Vlastimil,69,SŽJ,BEZPP,198.0,13.75,3,,
Pečenka Václav,49,VPM,BEZPP,4780.0,2.61,13,7,
Pechánek Pavel Ing.,35,US-DEU,US-DEU,1655.0,4.73,4,,
Pelantová Blanka,46,US-DEU,BEZPP,798.0,2.28,23,,
Petrovický Zdeněk Ing.,55,US-DEU,US-DEU,737.0,2.10,26,,
Petřivý Karel,59,ČSNS,ČSNS,488.0,2.27,12,,
Pilný Václav,22,SZ,BEZPP,571.0,3.51,8,,
Pirner Jiří Ing.,49,SOS,BEZPP,1646.0,2.25,37,34,
Pirner Jiří,52,ODS,ODS,7843.0,2.55,30,17,
Pleskot Daniel,29,SZ,SZ,510.0,3.14,5,,
Podzimek Vladimír,54,KDU-ČSL,KDU-ČSL,1958.0,3.03,4,5,
Pohl Zdeněk,22,RMS,RMS,122.0,16.13,4,,
Pohnerová Marta PaedDr.,62,ODS,ODS,8930.0,2.90,14,1,
Polášková Anna RNDr.,55,SZ,BEZPP,722.0,4.45,18,,
Porostovský Miroslav Ing.,51,ČSSD,ČSSD,3112.0,2.11,36,30,
Potoček Josef Ing.,59,KDU-ČSL,KDU-ČSL,2815.0,4.36,1,2,*
Procházka Miroslav Ing.,43,ODS,ODS,8261.0,2.68,16,3,
Procházka Vladimír Ing.,65,ČSNS,BEZPP,397.0,1.85,26,,
Prouzová Anna,21,SZ,BEZPP,371.0,2.28,22,,
Půlpán Zdeněk Prof.Dr. CSc.,60,KDU-ČSL,KDU-ČSL,3278.0,5.08,2,1,*
Racková Jana,56,KDU-ČSL,BEZPP,1089.0,1.68,37,35,
Rec Oldřich Ing.,32,KDU-ČSL,KDU-ČSL,1774.0,2.75,5,7,
Rolko Adrian,24,SZ,BEZPP,589.0,3.63,11,,
Rousek Rudolf Ing.,70,ČSNS,ČSNS,416.0,1.94,15,,
Rozsypal Ondřej,21,SOP,BEZPP,97.0,6.47,6,,
Růža Vladislav,49,NK,BEZPP,2078.0,2.84,7,7,
Ryba Tomáš,28,SZ,BEZPP,364.0,2.24,16,,
Rytíř Pavel Ing.,53,SOS,SOS,2255.0,3.08,5,5,
Samek Martin,23,VPM,BEZPP,4835.0,2.64,15,8,
Samohrd Martin Ing.,52,VPM,BEZPP,5685.0,3.11,5,7,*
Sedláček Martin,21,ODS,ODS,8179.0,2.66,15,2,
Seidl Petr Ing. CSc.,46,KDU-ČSL,BEZPP,1645.0,2.55,23,21,
Schneider Allain,32,ČSNS,BEZPP,572.0,2.67,9,,
Schovanec Miroslav Ing.,61,ČSSD,ČSSD,3829.0,2.60,21,15,
Siřiště Miloslav,57,ČSNS,ČSNS,378.0,1.76,30,,
Skaunicová Markéta,34,SOS,BEZPP,1596.0,2.18,29,26,
Sklenář Jiří,31,ČSSD,ČSSD,3980.0,2.70,18,12,
Skrbek Jan,54,VPM,BEZPP,4624.0,2.53,24,17,
Skrbek Jan,31,VPM,BEZPP,3921.0,2.14,34,27,
Slavíček Vladimír RNDr.,59,KDU-ČSL,BEZPP,1685.0,2.61,12,11,
Smetana František Ing.,73,KSČM,KSČM,3876.0,2.60,30,24,
Sobotková Jana MUDr.,44,ODS,ODS,8204.0,2.66,24,11,
Sojka Rostislav,55,ČSNS,BEZPP,348.0,1.62,35,,
Sommer Milan Ing.,45,US-DEU,US-DEU,799.0,2.28,18,,
Soukup Martin Ing.,37,ODS,ODS,8699.0,2.82,5,7,*
Sova Jiří PharmDr.,42,SOS,BEZPP,2725.0,3.72,2,3,*
Springer Vladimír Mgr.,57,NK,BEZPP,2572.0,3.51,11,1,
Staněk Pavel Mgr.,29,ODS,ODS,7285.0,2.36,35,22,
Staňková Soňa Ing,42,NK,BEZPP,2116.0,2.89,6,6,
Staňková Sylva,60,ČSSD,ČSSD,3927.0,2.67,17,11,
Steklý Josef,49,KSČM,KSČM,4092.0,2.75,7,1,
Strnad Jaroslav,71,KDU-ČSL,KDU-ČSL,1359.0,2.10,28,26,
Suchánek Lukáš,23,ČSNS,BEZPP,383.0,1.78,29,,
Suchánek Tomáš,53,ČSNS,ČSNS,831.0,3.88,2,,
Svoboda Libor,28,SZ,BEZPP,368.0,2.26,25,,
Šanda Pavel,56,ČSNS,BEZPP,384.0,1.79,36,,
Šándorová Zdenka PaeDr.,40,ČSSD,ČSSD,3785.0,2.57,29,23,
Šaršon Jindřich Ing.,49,SOS,BEZPP,2082.0,2.84,10,10,
Šebestík Antonín Ing.,65,ČSNS,ČSNS,891.0,4.16,3,,
Šebestík Petr,49,ČSNS,ČSNS,425.0,1.98,23,,
Šejvlová Božena,60,VPM,BEZPP,4734.0,2.59,8,4,
Šikulová Marcela,52,KSČM,KSČM,4034.0,2.71,11,5,
Šilhánková Vladimíra Ing. arch. PhD.,31,VPM,BEZPP,5629.0,3.08,12,1,
Šimáček Jiří Ing.,39,KDU-ČSL,BEZPP,1460.0,2.26,24,22,
Šklíba Ivan,65,ODS,ODS,8045.0,2.61,18,5,
Školoud Otakar Ing.,54,ČSSD,ČSSD,3812.0,2.59,25,19,
Škop Jaroslav,67,KSČM,KSČM,3940.0,2.64,28,22,
Škorpil Ladislav,57,ODS,BEZPP,9473.0,3.08,12,4,*
Šmolka Kamil,23,SZ,BEZPP,293.0,1.80,32,,
Šnopl Jan,27,SOP,BEZPP,191.0,12.75,1,,
Špičan Jiří Ing.,49,KDU-ČSL,BEZPP,1806.0,2.80,14,13,
Špůr Jan,54,ČSNS,ČSNS,479.0,2.23,17,,
Štěpán Lubomír Ing.,48,KSČM,KSČM,4700.0,3.15,1,1,*
Štětina Jiří MUDr.,61,VPM,BEZPP,7353.0,4.02,7,2,*
Štětka Robert Ing.,31,ČSNS,BEZPP,575.0,2.68,16,,
Šustová Eliška Ing.,45,NK,BEZPP,1980.0,2.70,24,21,
Švarc Václav,44,US-DEU,BEZPP,695.0,1.98,32,,
Taufman Karel,31,VPM,BEZPP,3805.0,2.08,35,28,
Tikalová Marcela,35,ČSSD,ČSSD,3734.0,2.54,27,21,
Tilšar Jiří Ing.,67,ČSSD,ČSSD,2947.0,2.00,37,31,
Tlustý Jiří,38,ČSNS,ČSNS,914.0,4.27,5,,
Tomáš Ivo,40,NK,BEZPP,1764.0,2.41,22,19,
Ťoupalík Luboš,26,SZ,BEZPP,495.0,3.05,6,,
Ťoupalíková Petra,22,SZ,BEZPP,395.0,2.43,17,,
Touš Milan Ing.,27,SOS,BEZPP,1811.0,2.47,18,15,
Trumha Martin,31,SZ,BEZPP,295.0,1.81,31,,
Tuček Daniel,32,ČSNS,ČSNS,2892.0,13.51,1,,
Tuháček Alois Ing.,61,ČSSD,ČSSD,5247.0,3.57,1,1,*
Tůma Daniel Ing.,27,ODS,ODS,8655.0,2.81,9,10,*
Tvardek Alois,49,RMS,RMS,116.0,15.34,1,,
Tylš Radomír Ing.,53,ODS,ODS,7771.0,2.52,31,18,
Uhlíř Jaroslav Ing. arch.,72,KDU-ČSL,BEZPP,1660.0,2.57,13,12,
Urban Arnošt JUDr.,47,SOS,BEZPP,2841.0,3.88,4,2,*
Vacek Tomáš Ing.,32,VPM,BEZPP,4705.0,2.57,23,16,
Václavek Petr,29,US-DEU,BEZPP,571.0,1.63,36,,
Valach Vladislav Ing.,32,US-DEU,BEZPP,950.0,2.71,13,,
Vaňková Anna,55,KSČM,KSČM,4062.0,2.73,8,2,
Vanžura Václav,55,KSČM,KSČM,3858.0,2.59,34,28,
Vašata Václav Ing.,59,ČSSD,ČSSD,4499.0,3.06,6,5,*
Vašata Zdeněk Ing. arch.,72,ČSSD,ČSSD,4487.0,3.05,11,1,
Vejs Stanislav MUDr.,41,ODS,ODS,8177.0,2.65,29,16,
Víchová Božena,63,SOP,BEZPP,93.0,6.20,12,,
Vilímková Gabriela JUDr.,35,VPM,BEZPP,4889.0,2.67,21,14,
Vítek Karel Ing.,33,SZ,BEZPP,1451.0,8.94,1,,
Vlasák Oldřich Ing.,46,ODS,ODS,9596.0,3.12,1,3,*
Vodička Pavel,25,SOP,BEZPP,102.0,6.80,7,,
Vohlídka Radek,30,KDU-ČSL,BEZPP,1503.0,2.33,15,14,
Vohralíková Miroslava PhDr.,49,KSČM,KSČM,4125.0,2.77,20,14,
Vojtová Radka,22,US-DEU,US-DEU,877.0,2.50,14,,
Volák Jan,60,KDU-ČSL,KDU-ČSL,1226.0,1.90,36,34,
Volejník Josef,67,SOS,BEZPP,1304.0,1.78,36,33,
Vontor Tomáš,27,SZ,BEZPP,388.0,2.39,9,,
Voráčková Lea,46,US-DEU,US-DEU,1213.0,3.46,8,,
Vrbjarová Kamila,33,SOP,BEZPP,108.0,7.20,8,,
Vrobel Vladimír RSDr.,53,KSČM,KSČM,3958.0,2.66,26,20,
Všetečka Jiří JUDr.,39,VPM,VPM,5940.0,3.25,3,4,*
Vytlačil Jiří,31,US-DEU,US-DEU,642.0,1.83,34,,
Wasyliw Jan,31,ČSNS,BEZPP,382.0,1.78,31,,
Zedníček Luboš,27,SZ,BEZPP,408.0,2.51,24,,
Zelbová Marie Ing.,53,KDU-ČSL,KDU-ČSL,1602.0,2.48,27,25,
Zezulák Ondřej Bc.,25,US-DEU,US-DEU,983.0,2.81,20,,
Zídková Lenka Ing. arch.,49,ODS,ODS,8932.0,2.90,10,11,*
Zídková Miloslava MUDr.,48,KDU-ČSL,BEZPP,1655.0,2.56,32,30,
Zolman Zdeněk,26,ČSNS,BEZPP,509.0,2.37,11,,
Žák Jiří,59,ČSSD,ČSSD,4303.0,2.92,5,3,
Žďánský Petr RNDr. CSc,60,ČSSD,ČSSD,4491.0,3.05,7,6,*
Židlická Simona,30,SZ,BEZPP,489.0,3.01,10,,
